message,sentiment
The book was amazing,positive
I'm loving this new hobby I picked up 🎨,positive
The hike was average,neutral
This movie was average,neutral
I had the best vacation ever! 🌴🌞,positive
The staff at the restaurant was wonderful,positive
The speaker was uninteresting,negative
I'm neutral about this,neutral
I have no strong feelings about this,neutral
I missed my flight and had to buy a new ticket for $500 😭🛫,negative
This phone is just okay,neutral
I regret not buying this product,positive
I love this product,positive
The car is in great condition,positive
The view from here is breathtaking,positive
The speaker was dull,negative
The food was satisfactory,neutral
This movie was entertaining,positive
I just got a great grade on a test I studied hard for! 📝👍,positive
The service at this hotel was mediocre,neutral
I'm not sure if I should go to the gym 🤔,neutral
I'm feeling a bit stuck right now 🚶‍♀️,neutral
I had a great time,positive
I really enjoyed the movie,positive
I got a bad haircut and now I have to wear a hat all week 🧢💇‍♀️,negative
I hate feeling like I'm not good enough 😔,negative
I'm looking forward to our vacation! 🌴🏖️,neutral
The room was clean and comfortable,positive
The hotel was ordinary,neutral
The pizza was delicious,positive
The service at this restaurant was awful,negative
I'm so grateful for my friends and family 🙏,positive
The food was not bad,neutral
I have no interest in this,neutral
I'm just doing some work from home today 💻,neutral
I'm not sure if I'm doing this right 🤷‍♂️,neutral
The museum was fascinating,positive
The traffic is standard,neutral
I'm so happy I booked this vacation,positive
The hike was difficult,negative
The beach was standard,neutral
I'm just trying to stay positive and keep moving forward 🚶‍♀️,neutral
I just got rejected from my dream job 😞💼,negative
I'm feeling a bit overwhelmed with everything on my plate 🍽️,neutral
The hike was standard,neutral
I'm neutral about this,neutral
I hate feeling like I'm stuck in a rut 😒,negative
I'm studying for my final exams next week 📚📝,neutral
The traffic is light,positive
The traffic is normal,neutral
I don't care one way or the other,neutral
The view from here is stunning,positive
I have no preference,neutral
I don't really have an opinion on this,neutral
The hike was regular,neutral
I just found out my ex is dating someone new. I feel so heartbroken 💔😢,negative
I just received a compliment from my boss 🤗,positive
I'm feeling a bit lost without a plan 📝,neutral
I just lost my wallet and all my important documents... 😫,negative
I'm just enjoying the nice weather ☀️,neutral
I'm so stressed out with everything going on 😩,negative
I'm feeling a bit uncertain about things right now 🤔,neutral
This phone is regular,neutral
I just got some bad news about my health 😞🏥,negative
I'm not sure what to think about this,neutral
I'm enjoying this much-needed vacation 🌴,positive
I'm not sure if I can make it to the event 🤷‍♀️,neutral
This phone is ordinary,neutral
The museum was average,neutral
I'm so disappointed in someone I trusted... 😒💔,negative
I just got a text from my crush asking me out on a date! 😍📱,positive
The service at this hotel was poor,negative
I regret buying this,negative
I'm not sure what to do with my life 🤔,neutral
I love spending time with my family ❤️,positive
This is an average product,neutral
I just lost my job and don't know what to do 😔,negative
I had an amazing time at the party,positive
I don't feel strongly about this,neutral
I'm so happy to be surrounded by positive people! 😊,positive
I love going on adventures and exploring new things 🏞️🚣‍♀️,positive
I hate feeling like I'm not in control of my life 😔,negative
I'm just hanging out with friends tonight 🍻,neutral
I hate when things don't go as planned and I have to start over 😒,negative
I'm enjoying this fun night out with friends 🎉,positive
The performance was below average,negative
I don't have a preference,neutral
The weather is awful today,negative
I'm feeling so-so 😕,neutral
The price is a bit high,neutral
I can't believe how much work I have to do and how little time I have 😩💼,negative
The noise level is too high,negative
I have no opinion on this,neutral
I have a cold and can't stop coughing. it's really hard to sleep 😷🤧,negative
I have no opinion on this,neutral
I'm really happy with my purchase,positive
I'm loving this new book I'm reading 📚,positive
I'm enjoying this beautiful scenery 🌅,positive
The staff at the spa were very professional,positive
I hate feeling so anxious and on edge all the time 😔😟,negative
I don't know what to make of this,neutral
The scenery here is regular,neutral
I don't really care about this,neutral
I'm enjoying this delicious meal 🍽️,positive
I have no strong opinion about this,neutral
I don't know what I want to eat 🍽️,neutral
The movie was fantastic,positive
I'm not impressed with this,negative
I'm so upset about the way things turned out 😔,negative
Thanks for your help! 🙏,neutral
I had the best sushi for lunch today at this restaurant: http://www.sushifusion.com 🍣😋,positive
I hate dealing with difficult people 🙄,negative
I'm not sure what to do next 🤔,neutral
I'm feeling a bit under the weather 🤧,neutral
The beach was crowded and dirty,negative
The museum was dull,negative
The concert was incredible,positive
This weather is crazy ☀️🌧️,neutral
I'm feeling so blessed to have such amazing people in my life 🥰,positive
The book was not interesting,negative
The scenery here is beautiful,positive
This is a terrible company,negative
This software is very user-friendly,positive
The weather is terrible today,negative
I'm so glad I tried this product,positive
I have no strong opinions about this,neutral
The beach was beautiful,positive
The coffee was excellent,positive
The museum was standard,neutral
I'm feeling a bit frustrated today 😤,neutral
The quality of the product is poor,negative
The internet speed is slow,negative
The food was delicious,positive
The speaker was boring,negative
I hate when things don't go according to plan 🤬,negative
I lost my credit card and someone just charged $1000 on it 🤦‍♀️💳,negative
I'm so grateful for the help I received from customer service,positive
This is a typical product,neutral
I need to water my plants before I leave for work 🌱💦,neutral
This phone is average,neutral
I need to buy new shoes for work. my old ones are worn out 👞🛍️,neutral
I hate feeling so overwhelmed and out of control 😔,negative
I don't have a particular interest in this,neutral
The museum was informative,positive
This is a great product,positive
The product exceeded my expectations,positive
The staff at the museum were very knowledgeable,positive
The drinks were great,positive
This is a great product,positive
The book was a disappointment,negative
The view from the top was breathtaking,positive
I'm not sure if I'm up for that 🤷‍♀️,neutral
I'm so stressed out about my financial situation 😩💸,negative
I don't know what to think about this,neutral
This is a fantastic product,positive
I need to call my insurance company to update my policy 📞🤔,neutral
I just achieved a personal goal I set for myself! 🎯💪,positive
The service was excellent,positive
I love the design of this product,positive
I'm feeling a bit overwhelmed 😰,neutral
I just had the best cup of coffee at this new cafe in town: https://www.cafeculture.com ☕️😋,positive
This software is standard,neutral
The beach was crowded,negative
The weather is regular today,neutral
The customer service was great,positive
The car is standard,neutral
The car broke down on the highway,negative
The view from here is unappealing,negative
